disease,desc,cure
typhoid,Typhoid fever is an infection that spreads through contaminated food and water.,"The only effective treatment for typhoid is antibiotics. Drink fluids. Take ORS(Oral Rehydration Salts). Use cold compress.Consume aplle cider vinegar, basil, Garlic, Bananas, Cloves, Pomogranate,Triphula Churan."
malaria,"A disease caused by a plasmodium parasite, transmitted by the bite of infected mosquitoes.","Cinamon, turmeric, orange juice, apple cider vinegar, sweet lime juice, mustard oil, grape fruit, fenugreek seeds. Tretaed in a hospital with prescribed medicines by a doctor.

"
anemia,A condition in which the blood doesn't have enough healthy red blood cells.,"Increase vitamin c intake. Yogurt with turmeric. Eat more green vegetables, fresh betroot or pomogranate juice, copper water, seasame seeds, Raisins and dates. Get a blood transfusion done."
diabetes,"Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high.","A combination of medications, exercises and diets can help keep diabetes at bay. Insulin prescibed by a doctor. Exercise regularly. Increase your fiber intake. control your carb intake. implement portion control diet. Stay hydrated. Choose foods with a low Glycemic index. Control stress levels. Eat foods rich in chromium and magnesium. Get enough sleep."
Crohn's Disease,A chronic inflammatory bowel disease that affects the lining of the digestive tract.,"Treated by Nonsteroidal anti-inflammatory drug, Anti-inflammatory, Steroid, Immunosuppressive drug, Vitamin and Antibiotics. Consume food which includes probiotics, prebiotics and anti-inflammatory foods."
tuberculosis,"A potentially serious infectious bacterial disease that mainly affects the lungs.they can also damage other parts of the body. TB spreads through the air when a person with TB of the lungs or throat coughs, sneezes, or talks.","Will require a long course of treatment involving multiple antibiotics. Leafy, dark-colored greens like kale and spinach, for their high iron and B-vitamin content.Plenty of whole grains, like whole wheat pastas, breads, and cereals. Antioxidant-rich, brightly-colored vegetables, such as carrots, peppers, and squash, and fruits, like tomatoes, blueberries, and cherries — think of buying produce in a full rainbow of colors,Unsaturated fats like vegetable or olive oil, instead of butter.Skip tobacco in all forms.Don't drink alcohol — it can add to the risk of liver damage from some of the drugs used to treat your TB.Limit coffee and other caffeinated drinks. Limit refined products, like sugar, white breads, and white rice. Avoid high-fat, high-cholesterol red meat and instead load up on leaner protein sources like poultry, beans, tofu, and fish."
plague,A rare but serious bacterial infection that's transmitted by fleas.,Bubonic plague requires urgent hospital treatment with strong antibiotics.
Meningitis,"Inflammation of brain and spinal cord membranes, typically caused by an infection.","Antibiotics, Steroid and Penicillin antibiotic.Bacterial meningitis requires immediate hospitalization.Fungal meningitis is treated with antifungal agents.
Parasitic meningitis may either involve treating just the symptoms or attempting to treat the infection directly.Viral meningitis may resolve on its own, but some causes of viral meningitis will be treated with intravenous antiviral medications.

"
pneumonic plague,Pneumonic plague is a severe lung infection caused by the bacterium Yersinia pestis.Antibiotics must be given within 24 hours of first symptoms to reduce the risk of death.,Requires Antibiotics.
diptheria,A serious infection of the nose and throat that's easily preventable by a vaccine,"Treatments include antibiotics and an antitoxin that neutralises the diphtheria toxin. A vaccine is available. Recovering from diphtheria requires lots of bed rest. Avoiding any physical exertion is particularly important if your heart has been affected. You may need to get your nutrition through liquids and soft foods for a while because of pain and difficulty swallowing. Strict isolation while you're contagious helps prevent the spread of the infection. Careful hand-washing by everyone in your house is important for limiting the spread of the infection. Once you recover from diphtheria, you'll need a full course of diphtheria vaccine to prevent a recurrence. Unlike some other infections, having diphtheria doesn't guarantee lifetime immunity. You can get diphtheria more than once if you're not fully immunized against it."
